,Unnamed: 0,model,arline precision,arline recall,arline f1,arline accuracy,execution_time,arline C,arline gamma,arline kernel,review precision,review recall,review f1,review accuracy,review C,review gamma,review kernel,amazon precision,amazon recall,amazon f1,amazon accuracy,amazon C,amazon gamma,amazon kernel
0,0,BoW 1-g,0.7922862259906915,0.8065934065934066,0.7992752002693598,0.8489071038251366,131583.34481692314,10,0.01,rbf,0.8728818001484419,0.8976,0.8850263001476179,0.88336,0.01,0.001,linear,0.8791601373910646,0.8950440018527095,0.8870023878163353,0.8709643605870021,10.0,0.001,rbf
0,0,BoW 2-g,0.7249825713016795,0.7923076923076923,0.7568846836315583,0.8102459016393443,86496.524269104,10,0.01,rbf,0.8654195014643576,0.8902399999999999,0.8776073060197671,0.87584,0.01,0.001,linear,0.8870503781999148,0.9075497915701712,0.8971659941752308,0.8822851153039832,0.1,0.001,linear
0,0,BoW 3-g,0.6820300122367854,0.6959706959706959,0.6887430530623542,0.7653005464480874,57046.50325870514,10,0.01,rbf,0.8458397279907299,0.8809600000000001,0.8630059992335134,0.86016,10.0,0.001,rbf,0.8530418315802271,0.9089393237610006,0.8800863051363937,0.859853249475891,10.0,0.01,rbf
0,0,Tf-Idf 1-g,0.8294594697071443,0.7692307692307692,0.7981317768186329,0.8549180327868853,47836.227540493004,10,1.0,rbf,0.8886114556287033,0.9056,0.8969831898576496,0.8959999999999999,10.0,1.0,rbf,0.8963625218830948,0.909495136637332,0.9028505766343116,0.8892557651991614,10.0,1.0,rbf
0,0,Tf-Idf 2-g,0.7913385647537559,0.7153846153846154,0.7513398501882711,0.8233606557377049,62322.06519484519,1,0.001,linear,0.8864757469528628,0.9067200000000001,0.8964658086736029,0.89528,10.0,0.1,rbf,0.8914405970135969,0.9272811486799446,0.9089811447859196,0.894916142557652,10.0,1.0,rbf
0,0,Tf-Idf 3-g,0.6799579212480761,0.6413919413919414,0.6600557957559627,0.7535519125683059,46285.501326084144,10,0.1,rbf,0.8691572560914105,0.89536,0.8820103196939274,0.8802399999999999,10.0,0.1,rbf,0.8731443062986411,0.9219082908754052,0.8968579322012774,0.8800314465408805,1.0,0.001,linear
0,0,D2V PV-DBOW,0.7321479630213786,0.6446886446886447,0.6855171443778995,0.7795081967213114,28985.130388736725,10,1.0,rbf,0.8613695650493641,0.8555200000000001,0.8584013559719628,0.85888,10.0,1.0,rbf,0.8674043581977381,0.8694766095414543,0.8684315204300251,0.8509433962264151,10.0,1.0,rbf
0,0,D2V PV-DM,0.6914686504027772,0.6655677655677656,0.6782433211293666,0.7644808743169399,31615.154917478565,10,0.1,rbf,0.8007094708419691,0.79392,0.7972501460249289,0.7981600000000001,10.0,1.0,rbf,0.7134398619799357,0.8190829087540529,0.7626105619900497,0.7114779874213837,10.0,1.0,rbf
