,model,arline precision,arline recall,arline f1,arline accuracy,execution_time,arline max_depth,arline max_features,arline min_samples_leaf,arline min_samples_split,review precision,review recall,review f1,review accuracy,review max_depth,review max_features,review min_samples_leaf,review min_samples_split,amazon precision,amazon recall,amazon f1,amazon accuracy,amazon max_depth,amazon max_features,amazon min_samples_leaf,amazon min_samples_split
0,BoW 1-g,0.5120289494061876,0.5750915750915752,0.5416637319250057,0.6368852459016393,1003.4432153701782,3,,0.1,0.5,0.6154086604252801,0.85088,0.7142085799271571,0.65952,1,,0.1,0.1,0.5657756813417191,1.0,0.7226778242677825,0.5657756813417191,1,,0.5,0.1
0,BoW 2-g,0.0,0.0,0.0,0.6270491803278688,1241.3486862182615,1,,0.1,0.1,0.5683107917998863,0.6448,0.6041002203918079,0.57752,3,,0.1,0.5,0.5657756813417191,1.0,0.7226778242677825,0.5657756813417191,1,,0.4,0.1
0,BoW 3-g,0.0,0.0,0.0,0.6270491803278688,1613.707510471344,1,,0.1,0.1,0.5155018829635887,0.9028799999999999,0.6562635241755473,0.5272,3,,0.1,0.8,0.5657756813417191,1.0,0.7226778242677825,0.5657756813417191,1,,0.1,0.1
0,Tf-Idf 1-g,0.5183057244472743,0.5787545787545788,0.5468484016292349,0.6422131147540984,1098.7441415786743,3,,0.1,0.5,0.6055152439813893,0.88464,0.7189307835469494,0.6541600000000001,1,,0.1,0.1,0.6192585592450931,0.8750347383047706,0.7252500553083598,0.624895178197065,3,,0.2,0.1
0,Tf-Idf 2-g,0.0,0.0,0.0,0.6270491803278688,1299.3384237289426,1,,0.1,0.1,0.5607254385406909,0.68416,0.6160796095487338,0.57408,1,,0.1,0.1,0.5657756813417191,1.0,0.7226778242677825,0.5657756813417191,1,,0.4,0.1
0,Tf-Idf 3-g,0.0,0.0,0.0,0.6270491803278688,1673.2578709125519,1,,0.1,0.1,0.522613377590854,0.77232,0.5954630431581431,0.5248,3,,0.1,0.8,0.5657756813417191,1.0,0.7226778242677825,0.5657756813417191,1,,0.1,0.1
0,D2V PV-DBOW,0.5563754724437753,0.5802197802197802,0.5677280678632065,0.6706284153005464,860.1106073856354,1,,0.4,0.1,0.548996629174317,0.77456,0.6421190132521079,0.56888,19,sqrt,0.2,0.5,0.6463086824140194,0.8721630384437239,0.7424055848139374,0.6575471698113208,3,,0.2,0.1
0,D2V PV-DM,0.5350510414080533,0.5912087912087913,0.5597800827660153,0.6539617486338798,904.4160659313202,3,,0.1,0.5,0.5200280537432965,0.70512,0.5985397650360185,0.5272,3,,0.30000000000000004,0.1,0.5657756813417191,1.0,0.7226778242677825,0.5657756813417191,1,,0.5,0.1
