,model,arline precision,arline recall,arline f1,arline accuracy,execution_time,arline max_depth,arline max_features,arline min_samples_leaf,arline min_samples_split,arline n_estimators,review precision,review recall,review f1,review accuracy,review max_depth,review max_features,review min_samples_leaf,review min_samples_split,review n_estimators,amazon precision,amazon recall,amazon f1,amazon accuracy,amazon max_depth,amazon max_features,amazon min_samples_leaf,amazon min_samples_split,amazon n_estimators
0,BoW 1-g,0.0,0.0,0.0,0.6270491803278688,2324.0130479335785,15,sqrt,0.1,0.1,50,0.6772073291270342,0.73088,0.7029144916114527,0.69128,21,sqrt,0.1,0.4,300,0.5657756813417191,1.0,0.7226778242677825,0.5657756813417191,15,sqrt,0.1,0.1,50
0,BoW 2-g,0.0,0.0,0.0,0.6270491803278688,5029.82225728035,15,sqrt,0.1,0.1,50,0.5,1.0,0.6666666666666665,0.5,15,sqrt,0.2,1.0,50,0.5657756813417191,1.0,0.7226778242677825,0.5657756813417191,15,sqrt,0.1,0.1,50
0,BoW 3-g,0.0,0.0,0.0,0.6270491803278688,5676.7292284965515,15,sqrt,0.1,0.1,50,0.5,1.0,0.6666666666666665,0.5,15,sqrt,0.1,0.6,50,0.5657756813417191,1.0,0.7226778242677825,0.5657756813417191,15,sqrt,0.1,0.1,50
0,Tf-Idf 1-g,0.0,0.0,0.0,0.6270491803278688,2318.2366609573364,15,sqrt,0.1,0.1,50,0.6849030500367629,0.7225600000000001,0.7029010731600909,0.69504,23,sqrt,0.1,0.30000000000000004,300,0.5657756813417191,1.0,0.7226778242677825,0.5657756813417191,15,sqrt,0.1,0.1,50
0,Tf-Idf 2-g,0.0,0.0,0.0,0.6270491803278688,4980.9071328639975,15,sqrt,0.1,0.1,50,0.5,1.0,0.6666666666666665,0.5,15,sqrt,0.2,0.7000000000000001,50,0.5657756813417191,1.0,0.7226778242677825,0.5657756813417191,15,sqrt,0.1,0.1,50
0,Tf-Idf 3-g,0.0,0.0,0.0,0.6270491803278688,5715.164190292358,15,sqrt,0.1,0.1,50,0.5,1.0,0.6666666666666665,0.5,15,sqrt,0.1,0.7000000000000001,50,0.5657756813417191,1.0,0.7226778242677825,0.5657756813417191,15,sqrt,0.1,0.1,50
0,D2V PV-DBOW,0.7341236685479393,0.30366300366300364,0.4293305491974589,0.6991803278688524,5155.006674766541,15,sqrt,0.1,0.1,50,0.6927908891176178,0.70352,0.6981037282899154,0.69576,15,sqrt,0.1,0.1,300,0.6599846395562764,0.9555349698934692,0.7807088311469114,0.6962788259958071,23,sqrt,0.1,0.2,150
0,D2V PV-DM,0.8374852096963333,0.19597069597069602,0.3175024957846521,0.6859289617486338,5468.543008327484,27,sqrt,0.1,0.2,50,0.5,1.0,0.6666666666666665,0.5,15,sqrt,0.4,0.4,50,0.574700699371986,0.992496526169523,0.7279033907405833,0.5801886792452831,15,sqrt,0.1,0.2,50
