model,arline precision,arline recall,arline f1,arline accuracy,execution_time,arline n_neighbors,arline weights,review precision,review recall,review f1,review accuracy,review n_neighbors,review weights,amazon precision,amazon_recall,amazon f1,amazon accuracy,amazon n_neighbors,amazon weights
BoW 1-g,0.4902952242913554,0.9201465201465202,0.6397077983695264,0.6133879781420765,650.9087646007538,9,distance,0.6593996940923192,0.6913600000000001,0.6749785217179243,0.6671199999999999,15,distance,0.6974521372828895,0.8884668828161186,0.7814393678717347,0.7188155136268344,15,distance
BoW 2-g,0.4157814146743972,0.9443223443223444,0.5769589138298196,0.4830601092896175,427.6133024692536,3,distance,0.5656324893774819,0.28496,0.3785423529910875,0.5328,1,uniform,0.6326708225169908,0.96146364057434,0.7631069452534646,0.6622117400419287,15,distance
BoW 3-g,0.4489221406754791,0.8091575091575091,0.5465303913617269,0.5263661202185792,251.04690599441528,3,distance,0.5697563257212803,0.7894399999999999,0.5391910571549072,0.5072800000000001,5,distance,0.6187673616134449,0.9737841593330244,0.7566852987531368,0.6457023060796646,15,distance
Tf-Idf 1-g,0.749528487955665,0.6967032967032967,0.7220349523239543,0.8,715.0885334014893,15,distance,0.7835000699102068,0.77872,0.7808602977287293,0.78168,15,distance,0.7584034093128701,0.8151922186197313,0.7857235196519621,0.7484800838574424,15,distance
Tf-Idf 2-g,0.37912458532294296,0.9937728937728936,0.5488564282945707,0.3907103825136612,430.16870594024664,3,distance,0.8127482438966837,0.8524799999999999,0.8321103705859864,0.828,15,distance,0.7744048200138443,0.9013432144511349,0.8328116928759081,0.7952830188679245,15,distance
Tf-Idf 3-g,0.38133689817239336,0.8989010989010988,0.535328189585998,0.4192622950819672,240.06508111953733,15,distance,0.8016796730327505,0.83104,0.8160899030393579,0.81272,15,distance,0.6137876737788202,0.9644279759147752,0.7501199257167989,0.6365303983228512,15,distance
D2V PV-DBOW,0.6114812764671064,0.5728937728937729,0.5913448776108945,0.7047814207650274,7726.124716043471,13,distance,0.7339999351018996,0.7032,0.7180689499230901,0.7240000000000001,15,distance,0.7697537833878556,0.9001389532190829,0.8298053214402801,0.7910901467505241,15,distance
D2V PV-DM,0.4850375388053661,0.7912087912087913,0.6012967540004439,0.6087431693989072,7574.768038272858,13,distance,0.5816579051342746,0.688,0.6301495190621267,0.59648,15,distance,0.631545920796772,0.8808707735062529,0.7356455834411393,0.6418238993710692,15,distance
